;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
415;CHINA;Northern Han;116,39;39,93;248;0,08;Yongfa, W., et al. (1984) Hum.Genet. 67, 103.
58;Colombia;Caribbean;-74,297333;4,570868;128;0,2;Mendoza, 12. Diagnosis
59;Congo [DRC];Bantu speakers;21,758664;-4,038333;11;0;Breton, 2014. Lactase
60;Congo [Republic];Brazaville;15,827659;-0,228021;90;0;Jones, 2015. Diversity (supplementary table 2)
461;CYPRUS;Greek Cypriots;33,37;35,17;50;0,34;Kanaghinis, T., et al. (1974) Am.J.Dig.Dis. 19, 1021.
462;DENMARK;Danes;12,58;55,73;91;0,96;Busk, H. E., et al. (1975) Ugeskr Laeger 137, 2062-4.
62;Egypt;Ethnic groups from Sinai in the Eastern Desert;30,802498;26,820553;72;0,89;Hussein, 1994. The frequency
63;Egypt;Ethnic groups from the New Valley in the Western Desert;30,802498;26,820553;100;0,49;Hussein, 1994. The frequency
315;EGYPT;Cairo and Giza;31,25;30,05;67;0,33;Hussein, L., et al. (1982) Hum.Hered. 32, 94.
316;EGYPT;Nile Delta;32;31,5;291;0,27;Hussein, L., et al. (1982) Hum.Hered. 32, 94.
317;EGYPT;Suez Canal Zone;32,5;31;16;0,31;Hussein, L., et al. (1982) Hum.Hered. 32, 94.
318;EGYPT;Upper Egypt, North;28;31;111;0,15;Hussein, L., et al. (1982) Hum.Hered. 32, 94.
319;EGYPT;Upper Egypt, South;28;28;85;0,4;Hussein, L., et al. (1982) Hum.Hered. 32, 94.
64;Estonia;Estonians (at least 3 grand parents Estonians);25,013607;58,595272;314;0,752;"Lember, 06. Lactase non-persistence 

"
463;ESTONIA;Estonian;26,7;58,23;112;0,75;Lember, M., et al. (1991) Eur J Gastroenterol Hepatol 3, 479.
464;ESTONIA;Setus;27,64;57,96;100;0,51;Lember, M., et al. (1991) Eur J Gastroenterol Hepatol 3, 479.
65;Ethiopia;Maale;40,489673;9,145;122;0,216;Jones, 2015. Diversity (supplementary table 2)
66;Ethiopia;Afar;40,489673;9,145;144;0,691;Jones, 2015. Diversity (supplementary table 2)
67;Ethiopia;Amharic;40,489673;9,145;142;0,237;Jones, 2015. Diversity (supplementary table 2)
68;Ethiopia;Anuak;40,489673;9,145;138;0;Jones, 2015. Diversity (supplementary table 2)
69;Ethiopia;Oromo;40,489673;9,145;148;0,343;Jones, 2015. Diversity (supplementary table 2)
70;Ethiopia;Manjo;40,489673;9,145;60;0,097;Jones, 2015. Diversity (supplementary table 2)
71;Ethiopia;Nuer;40,489673;9,145;238;0;Mulcare, 04
72;Ethiopia;Nuer;40,489673;9,145;66;0;Jones, 2015. Diversity (supplementary table 2)
73;Ethiopia;Shabo;40,489673;9,145;40;0;Jones, 2015. Diversity (supplementary table 2)
74;Ethiopia;Suri;40,489673;9,145;84;0,093;Jones, 2015. Diversity (supplementary table 2)
320;ETHIOPIA;Somali;41,86;9,59;90;0,24;Ingram et al. (2009, submitted) J Mol Evol.
75;Finland;Mountain Saami (Utsjoki);25,748151;61,92411;158;0,66;Kozlov, 97
76;Finland;Saami (Inari, fisher);25,748151;61,92411;110;0,75;Kozlov, 97
77;Finland;Not specified;25,748151;61,92411;1900;0,82;Anthoni, 2007. Molecularly
78;Finland;Saami;25,748151;61,92411;30;0,333;Enattah, 2007. Evidence
79;Finland;Not specified;25,748151;61,92411;2265;0,824;Lehtimaki, 06. The effects
80;Finland;Not specified;25,748151;61,92411;234;0,829;Enattah, 2004. Molecularly
81;Finland;Mountain Saami (Inari);25,748151;61,92411;75;0,63;Kozlov, 97
82;Finland;Eastern Finland;25,748151;61,92411;77;0,766;Enattah, 2007. Evidence
83;Finland;Western Finland;25,748151;61,92411;154;0,837;Enattah, 2007. Evidence
